[Fri Jan 22 15:47:12.587536 2016] [:error] [pid 5574] [client 127.0.0.1:36250] PHP Fatal error:  Class 'app\\models\\search\\UserSeach' not found in /media/data/www/yii2/controllers/UserController.php on line 35
[Fri Jan 22 15:57:17.217917 2016] [:error] [pid 6059] [client 127.0.0.1:36519] PHP Fatal error:  Call to a member function checkAccess() on a non-object in /media/data/www/yii2/vendor/yiisoft/yii2/web/User.php on line 661, referer: http://yii2.dev/site/login
[Fri Jan 22 16:20:22.158054 2016] [:error] [pid 1695] [client 127.0.0.1:36696] PHP Parse error:  syntax error, unexpected ';', expecting ']' in /media/data/www/yii2/controllers/UserController.php on line 29
[Fri Jan 22 16:20:24.805745 2016] [:error] [pid 6019] [client 127.0.0.1:36697] PHP Parse error:  syntax error, unexpected ';', expecting ']' in /media/data/www/yii2/controllers/UserController.php on line 29
[Fri Jan 22 17:17:04.000084 2016] [:error] [pid 6028] [client 127.0.0.1:37394] PHP Fatal error:  Call to a member function checkAccess() on a non-object in /media/data/www/yii2/vendor/yiisoft/yii2/web/User.php on line 661
[Fri Jan 22 17:17:06.987768 2016] [:error] [pid 6019] [client 127.0.0.1:37397] PHP Fatal error:  Call to a member function checkAccess() on a non-object in /media/data/www/yii2/vendor/yiisoft/yii2/web/User.php on line 661
[Fri Jan 22 17:17:07.931359 2016] [:error] [pid 8573] [client 127.0.0.1:37398] PHP Fatal error:  Call to a member function checkAccess() on a non-object in /media/data/www/yii2/vendor/yiisoft/yii2/web/User.php on line 661
[Fri Jan 22 17:18:48.188818 2016] [:error] [pid 8390] [client 127.0.0.1:37442] PHP Fatal error:  Call to a member function checkAccess() on a non-object in /media/data/www/yii2/vendor/yiisoft/yii2/web/User.php on line 661, referer: http://yii2.dev/user/index
[Tue Jan 26 20:59:54.421290 2016] [:error] [pid 28672] [client 127.0.0.1:43021] PHP Fatal error:  Class 'yii\\jui\\DatePicker' not found in /media/data/www/yii2/views/user/index.php on line 40, referer: http://yii2.dev/user/update/3
[Tue Jan 26 21:00:44.611252 2016] [:error] [pid 1592] [client 127.0.0.1:43048] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /media/data/www/yii2/views/user/index.php on line 48, referer: http://yii2.dev/user/update/3
[Tue Jan 26 21:01:36.737312 2016] [:error] [pid 28906] [client 127.0.0.1:43074] PHP Fatal error:  Class 'yii\\jui\\DatePicker' not found in /media/data/www/yii2/views/user/index.php on line 41, referer: http://yii2.dev/user/update/3
[Tue Jan 26 21:03:38.861100 2016] [:error] [pid 29046] [client 127.0.0.1:43130] PHP Fatal error:  Class 'yii\\jui\\DatePicker' not found in /media/data/www/yii2/views/user/index.php on line 41, referer: http://yii2.dev/user/update/3
[Thu Jan 28 20:50:51.528698 2016] [:error] [pid 7052] [client 127.0.0.1:33589] PHP Parse error:  syntax error, unexpected '}' in /media/data/www/yii2/controllers/SiteController.php on line 56, referer: http://yii2.dev/access/index
[Thu Jan 28 20:55:56.715907 2016] [:error] [pid 7049] [client 127.0.0.1:33645] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /media/data/www/yii2/models/search/CalendarSearch.php on line 50, referer: http://yii2.dev/calendar/index
[Thu Jan 28 21:02:26.148390 2016] [:error] [pid 6934] [client 127.0.0.1:33752] PHP Fatal error:  Class 'DatePicker' not found in /media/data/www/yii2/views/calendar/_form.php on line 18, referer: http://yii2.dev/calendar/index
[Thu Jan 28 21:04:13.744633 2016] [:error] [pid 8258] [client 127.0.0.1:33790] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /media/data/www/yii2/models/Calendar.php on line 81, referer: http://yii2.dev/calendar/create
[Thu Jan 28 21:04:18.117971 2016] [:error] [pid 8643] [client 127.0.0.1:33791] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /media/data/www/yii2/models/Calendar.php on line 81
[Thu Jan 28 21:40:52.509720 2016] [:error] [pid 9017] [client 127.0.0.1:34298] PHP Parse error:  syntax error, unexpected ',' in /media/data/www/yii2/views/layouts/main.php on line 43, referer: http://yii2.dev/site/login
[Sun Jan 31 08:10:25.910635 2016] [:error] [pid 1676] [client 127.0.0.1:50362] PHP Fatal error:  Cannot redeclare app\\models\\Calendar::find() in /media/data/www/yii2/models/Calendar.php on line 86, referer: http://yii2.dev/site/login
[Sun Jan 31 08:28:27.545352 2016] [:error] [pid 7371] [client 127.0.0.1:50736] PHP Fatal error:  Class 'app\\controllers\\Access' not found in /media/data/www/yii2/controllers/CalendarController.php on line 88, referer: http://yii2.dev/calendar/mynotes
[Sun Jan 31 08:28:35.443425 2016] [:error] [pid 1676] [client 127.0.0.1:50737] PHP Fatal error:  Class 'app\\controllers\\Access' not found in /media/data/www/yii2/controllers/CalendarController.php on line 88, referer: http://yii2.dev/calendar/mynotes
